H,G,F,E,D,C,B,A
H1,G1,F1,E1,D1,C1,B1,A1
H1,G1,F1,E1,D1,C1,B1,A2
H1,G1,F1,E1,D1,C1,B1,A3
H1,G1,F1,E1,D1,C1,B1,A4
H1,G1,F1,E1,D1,C1,B1,A5
H1,G1,F1,E1,D1,C1,B2,A1
H1,G1,F1,E1,D1,C1,B2,A2
H1,G1,F1,E1,D1,C1,B2,A3
H1,G1,F1,E1,D1,C1,B2,A4
H1,G1,F1,E1,D1,C1,B2,A5
H1,G1,F1,E1,D1,C2,B3,A1
H1,G1,F1,E1,D1,C2,B3,A2
H1,G1,F1,E1,D1,C2,B3,A3
H1,G1,F1,E1,D1,C2,B3,A4
H1,G1,F1,E1,D1,C2,B3,A5
H1,G1,F1,E1,D1,C2,B4,A1
H1,G1,F1,E1,D1,C2,B4,A2
H1,G1,F1,E1,D1,C2,B4,A3
H1,G1,F1,E1,D1,C2,B4,A4
H1,G1,F1,E1,D1,C2,B4,A5
H1,G1,F1,E1,D1,C3,B5,A1
H1,G1,F1,E1,D1,C3,B5,A2
H1,G1,F1,E1,D1,C3,B5,A3
H1,G1,F1,E1,D1,C3,B5,A4
H1,G1,F1,E1,D1,C3,B5,A5
H1,G1,F1,E1,D1,C3,B6,A1
H1,G1,F1,E1,D1,C3,B6,A2
H1,G1,F1,E1,D1,C3,B6,A3
H1,G1,F1,E1,D1,C3,B6,A4
H1,G1,F1,E1,D1,C3,B6,A5
H1,G1,F1,E1,D1,C4,B7,A1
H1,G1,F1,E1,D1,C4,B7,A2
H1,G1,F1,E1,D1,C4,B7,A3
H1,G1,F1,E1,D1,C4,B7,A4
H1,G1,F1,E1,D1,C4,B7,A5
H1,G1,F1,E1,D1,C4,B8,A1
H1,G1,F1,E1,D1,C4,B8,A2
H1,G1,F1,E1,D1,C4,B8,A3
H1,G1,F1,E1,D1,C4,B8,A4
H1,G1,F1,E1,D1,C4,B8,A5
H1,G1,F1,E1,D2,C1,B9,A1
H1,G1,F1,E1,D2,C1,B9,A2
H1,G1,F1,E1,D2,C1,B9,A3
H1,G1,F1,E1,D2,C1,B9,A4
H1,G1,F1,E1,D2,C1,B9,A5
H1,G1,F1,E1,D2,C1,B10,A1
H1,G1,F1,E1,D2,C1,B10,A2
H1,G1,F1,E1,D2,C1,B10,A3
H1,G1,F1,E1,D2,C1,B10,A4
H1,G1,F1,E1,D2,C1,B10,A5
H1,G1,F1,E1,D2,C2,B11,A1
H1,G1,F1,E1,D2,C2,B11,A2
H1,G1,F1,E1,D2,C2,B11,A3
H1,G1,F1,E1,D2,C2,B11,A4
H1,G1,F1,E1,D2,C2,B11,A5
H1,G1,F1,E1,D2,C2,B12,A1
H1,G1,F1,E1,D2,C2,B12,A2
H1,G1,F1,E1,D2,C2,B12,A3
H1,G1,F1,E1,D2,C2,B12,A4
H1,G1,F1,E1,D2,C2,B12,A5
H1,G1,F1,E1,D2,C3,B13,A1
H1,G1,F1,E1,D2,C3,B13,A2
H1,G1,F1,E1,D2,C3,B13,A3
H1,G1,F1,E1,D2,C3,B13,A4
H1,G1,F1,E1,D2,C3,B13,A5
H1,G1,F1,E1,D2,C3,B14,A1
H1,G1,F1,E1,D2,C3,B14,A2
H1,G1,F1,E1,D2,C3,B14,A3
H1,G1,F1,E1,D2,C3,B14,A4
H1,G1,F1,E1,D2,C3,B14,A5
H1,G1,F1,E1,D2,C4,B15,A1
H1,G1,F1,E1,D2,C4,B15,A2
H1,G1,F1,E1,D2,C4,B15,A3
H1,G1,F1,E1,D2,C4,B15,A4
H1,G1,F1,E1,D2,C4,B15,A5
H1,G1,F1,E1,D2,C4,B16,A1
H1,G1,F1,E1,D2,C4,B16,A2
H1,G1,F1,E1,D2,C4,B16,A3
H1,G1,F1,E1,D2,C4,B16,A4
H1,G1,F1,E1,D2,C4,B16,A5
H1,G1,F1,E2,D1,C1,B17,A1
H1,G1,F1,E2,D1,C1,B17,A2
H1,G1,F1,E2,D1,C1,B17,A3
H1,G1,F1,E2,D1,C1,B17,A4
H1,G1,F1,E2,D1,C1,B17,A5
H1,G1,F1,E2,D1,C1,B18,A1
H1,G1,F1,E2,D1,C1,B18,A2
H1,G1,F1,E2,D1,C1,B18,A3
H1,G1,F1,E2,D1,C1,B18,A4
H1,G1,F1,E2,D1,C1,B18,A5
H1,G1,F1,E2,D1,C2,B19,A1
H1,G1,F1,E2,D1,C2,B19,A2
H1,G1,F1,E2,D1,C2,B19,A3
H1,G1,F1,E2,D1,C2,B19,A4
H1,G1,F1,E2,D1,C2,B19,A5
H1,G1,F1,E2,D1,C2,B20,A1
H1,G1,F1,E2,D1,C2,B20,A2
H1,G1,F1,E2,D1,C2,B20,A3
H1,G1,F1,E2,D1,C2,B20,A4
H1,G1,F1,E2,D1,C2,B20,A5
H1,G1,F1,E2,D1,C3,B21,A1
H1,G1,F1,E2,D1,C3,B21,A2
H1,G1,F1,E2,D1,C3,B21,A3
H1,G1,F1,E2,D1,C3,B21,A4
H1,G1,F1,E2,D1,C3,B21,A5
H1,G1,F1,E2,D1,C3,B22,A1
H1,G1,F1,E2,D1,C3,B22,A2
H1,G1,F1,E2,D1,C3,B22,A3
H1,G1,F1,E2,D1,C3,B22,A4
H1,G1,F1,E2,D1,C3,B22,A5
H1,G1,F1,E2,D1,C4,B23,A1
H1,G1,F1,E2,D1,C4,B23,A2
H1,G1,F1,E2,D1,C4,B23,A3
H1,G1,F1,E2,D1,C4,B23,A4
H1,G1,F1,E2,D1,C4,B23,A5
H1,G1,F1,E2,D1,C4,B24,A1
H1,G1,F1,E2,D1,C4,B24,A2
H1,G1,F1,E2,D1,C4,B24,A3
H1,G1,F1,E2,D1,C4,B24,A4
H1,G1,F1,E2,D1,C4,B24,A5
H1,G1,F1,E2,D2,C1,B25,A1
H1,G1,F1,E2,D2,C1,B25,A2
H1,G1,F1,E2,D2,C1,B25,A3
H1,G1,F1,E2,D2,C1,B25,A4
H1,G1,F1,E2,D2,C1,B25,A5
H1,G1,F1,E2,D2,C1,B26,A1
H1,G1,F1,E2,D2,C1,B26,A2
H1,G1,F1,E2,D2,C1,B26,A3
H1,G1,F1,E2,D2,C1,B26,A4
H1,G1,F1,E2,D2,C1,B26,A5
H1,G1,F1,E2,D2,C2,B27,A1
H1,G1,F1,E2,D2,C2,B27,A2
H1,G1,F1,E2,D2,C2,B27,A3
H1,G1,F1,E2,D2,C2,B27,A4
H1,G1,F1,E2,D2,C2,B27,A5
H1,G1,F1,E2,D2,C2,B28,A1
H1,G1,F1,E2,D2,C2,B28,A2
H1,G1,F1,E2,D2,C2,B28,A3
H1,G1,F1,E2,D2,C2,B28,A4
H1,G1,F1,E2,D2,C2,B28,A5
H1,G1,F1,E2,D2,C3,B29,A1
H1,G1,F1,E2,D2,C3,B29,A2
H1,G1,F1,E2,D2,C3,B29,A3
H1,G1,F1,E2,D2,C3,B29,A4
H1,G1,F1,E2,D2,C3,B29,A5
H1,G1,F1,E2,D2,C3,B30,A1
H1,G1,F1,E2,D2,C3,B30,A2
H1,G1,F1,E2,D2,C3,B30,A3
H1,G1,F1,E2,D2,C3,B30,A4
H1,G1,F1,E2,D2,C3,B30,A5
H1,G1,F1,E2,D2,C4,B31,A1
H1,G1,F1,E2,D2,C4,B31,A2
H1,G1,F1,E2,D2,C4,B31,A3
H1,G1,F1,E2,D2,C4,B31,A4
H1,G1,F1,E2,D2,C4,B31,A5
H1,G1,F1,E2,D2,C4,B32,A1
H1,G1,F1,E2,D2,C4,B32,A2
H1,G1,F1,E2,D2,C4,B32,A3
H1,G1,F1,E2,D2,C4,B32,A4
H1,G1,F1,E2,D2,C4,B32,A5
H1,G1,F2,E1,D1,C1,B33,A1
H1,G1,F2,E1,D1,C1,B33,A2
H1,G1,F2,E1,D1,C1,B33,A3
H1,G1,F2,E1,D1,C1,B33,A4
H1,G1,F2,E1,D1,C1,B33,A5
H1,G1,F2,E1,D1,C1,B34,A1
H1,G1,F2,E1,D1,C1,B34,A2
H1,G1,F2,E1,D1,C1,B34,A3
H1,G1,F2,E1,D1,C1,B34,A4
H1,G1,F2,E1,D1,C1,B34,A5
H1,G1,F2,E1,D1,C2,B35,A1
H1,G1,F2,E1,D1,C2,B35,A2
H1,G1,F2,E1,D1,C2,B35,A3
H1,G1,F2,E1,D1,C2,B35,A4
H1,G1,F2,E1,D1,C2,B35,A5
H1,G1,F2,E1,D1,C2,B36,A1
H1,G1,F2,E1,D1,C2,B36,A2
H1,G1,F2,E1,D1,C2,B36,A3
H1,G1,F2,E1,D1,C2,B36,A4
H1,G1,F2,E1,D1,C2,B36,A5
H1,G1,F2,E1,D1,C3,B37,A1
H1,G1,F2,E1,D1,C3,B37,A2
H1,G1,F2,E1,D1,C3,B37,A3
H1,G1,F2,E1,D1,C3,B37,A4
H1,G1,F2,E1,D1,C3,B37,A5
H1,G1,F2,E1,D1,C3,B38,A1
H1,G1,F2,E1,D1,C3,B38,A2
H1,G1,F2,E1,D1,C3,B38,A3
H1,G1,F2,E1,D1,C3,B38,A4
H1,G1,F2,E1,D1,C3,B38,A5
H1,G1,F2,E1,D1,C4,B39,A1
H1,G1,F2,E1,D1,C4,B39,A2
H1,G1,F2,E1,D1,C4,B39,A3
H1,G1,F2,E1,D1,C4,B39,A4
H1,G1,F2,E1,D1,C4,B39,A5
H1,G1,F2,E1,D1,C4,B40,A1
H1,G1,F2,E1,D1,C4,B40,A2
H1,G1,F2,E1,D1,C4,B40,A3
H1,G1,F2,E1,D1,C4,B40,A4
H1,G1,F2,E1,D1,C4,B40,A5
H1,G1,F2,E1,D2,C1,B41,A1
H1,G1,F2,E1,D2,C1,B41,A2
H1,G1,F2,E1,D2,C1,B41,A3
H1,G1,F2,E1,D2,C1,B41,A4
H1,G1,F2,E1,D2,C1,B41,A5
H1,G1,F2,E1,D2,C1,B42,A1
H1,G1,F2,E1,D2,C1,B42,A2
H1,G1,F2,E1,D2,C1,B42,A3
H1,G1,F2,E1,D2,C1,B42,A4
H1,G1,F2,E1,D2,C1,B42,A5
H1,G1,F2,E1,D2,C2,B43,A1
H1,G1,F2,E1,D2,C2,B43,A2
H1,G1,F2,E1,D2,C2,B43,A3
H1,G1,F2,E1,D2,C2,B43,A4
H1,G1,F2,E1,D2,C2,B43,A5
H1,G1,F2,E1,D2,C2,B44,A1
H1,G1,F2,E1,D2,C2,B44,A2
H1,G1,F2,E1,D2,C2,B44,A3
H1,G1,F2,E1,D2,C2,B44,A4
H1,G1,F2,E1,D2,C2,B44,A5
H1,G1,F2,E1,D2,C3,B45,A1
H1,G1,F2,E1,D2,C3,B45,A2
H1,G1,F2,E1,D2,C3,B45,A3
H1,G1,F2,E1,D2,C3,B45,A4
H1,G1,F2,E1,D2,C3,B45,A5
H1,G1,F2,E1,D2,C3,B46,A1
H1,G1,F2,E1,D2,C3,B46,A2
H1,G1,F2,E1,D2,C3,B46,A3
H1,G1,F2,E1,D2,C3,B46,A4
H1,G1,F2,E1,D2,C3,B46,A5
H1,G1,F2,E1,D2,C4,B47,A1
H1,G1,F2,E1,D2,C4,B47,A2
H1,G1,F2,E1,D2,C4,B47,A3
H1,G1,F2,E1,D2,C4,B47,A4
H1,G1,F2,E1,D2,C4,B47,A5
H1,G1,F2,E1,D2,C4,B48,A1
H1,G1,F2,E1,D2,C4,B48,A2
H1,G1,F2,E1,D2,C4,B48,A3
H1,G1,F2,E1,D2,C4,B48,A4
H1,G1,F2,E1,D2,C4,B48,A5
H1,G1,F2,E2,D1,C1,B49,A1
H1,G1,F2,E2,D1,C1,B49,A2
H1,G1,F2,E2,D1,C1,B49,A3
H1,G1,F2,E2,D1,C1,B49,A4
H1,G1,F2,E2,D1,C1,B49,A5
H1,G1,F2,E2,D1,C1,B50,A1
H1,G1,F2,E2,D1,C1,B50,A2
H1,G1,F2,E2,D1,C1,B50,A3
H1,G1,F2,E2,D1,C1,B50,A4
H1,G1,F2,E2,D1,C1,B50,A5
H1,G1,F2,E2,D1,C2,B51,A1
